num objects,r std,r var,r mean,r min,r max,snr std,snr var,snr mean,snr min,snr max,noise std,noise var,noise mean,noise min,noise max,enviroment,object,height
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,40.5,1640.25,194.5,154.0,235.0,54.0,2916.0,547.0,493.0,601.0,sunny,dime,7 
5,1.0515891965972266,1.1058398384000003,1.7538400000000003,0.2181,2.8795,45.993912640696266,2115.44,154.4,113.0,240.0,40.355420949359456,1628.56,521.2,478.0,595.0,sunny,dime,7 
5,1.0598864927906195,1.1233593776000002,1.57938,0.2182,2.5305,49.372056874308974,2437.6,165.0,114.0,244.0,48.64565756570673,2366.4,518.0,473.0,592.0,sunny,dime,7 
4,0.9931576637170958,0.986362145,1.4725,0.2182,2.5305,42.70245894559235,1823.5,165.0,115.0,233.0,49.47916228070156,2448.1875,518.25,474.0,602.0,sunny,dime,7 
4,1.0436463610222575,1.0891977268750002,1.996025,0.2181,2.8795,41.140004861448425,1692.5,162.0,116.0,228.0,50.71735403192876,2572.25,522.5,476.0,607.0,sunny,dime,7 
5,0.9444605812843647,0.8920057896000001,2.0680199999999997,0.2182,2.8795,46.87856653098514,2197.6,152.0,116.0,237.0,48.56088961293852,2358.1600000000003,509.2,472.0,599.0,sunny,dime,7 
4,0.8817914673407766,0.777556191875,1.308875,0.2182,2.5305,60.905664761169795,3709.5,170.0,115.0,262.0,46.44082255946809,2156.75,500.5,457.0,573.0,sunny,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,57.156704671358455,3266.888888888889,184.66666666666666,120.0,259.0,40.99051380773632,1680.222222222222,522.6666666666666,478.0,577.0,sunny,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,57.156704671358455,3266.888888888889,184.66666666666666,120.0,259.0,40.99051380773632,1680.222222222222,522.6666666666666,478.0,577.0,sunny,dime,7 
4,1.1265311036540449,1.2690723275000002,1.60335,0.2181,2.8795,51.60910772334666,2663.5,173.0,115.0,249.0,44.68430932665291,1996.6875,517.25,461.0,586.0,sunny,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,57.27904406402824,3280.888888888889,182.33333333333334,115.0,255.0,43.734044709661454,1912.6666666666667,525.0,473.0,580.0,sunny,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,57.27904406402824,3280.888888888889,182.33333333333334,115.0,255.0,43.734044709661454,1912.6666666666667,525.0,473.0,580.0,sunny,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,57.27904406402824,3280.888888888889,182.33333333333334,115.0,255.0,43.734044709661454,1912.6666666666667,525.0,473.0,580.0,sunny,dime,7 
3,1.1809153690628678,1.3945611088888892,1.8760666666666665,0.2182,2.8795,57.81772123569805,3342.888888888889,191.66666666666666,125.0,266.0,41.96294661828324,1760.888888888889,514.3333333333334,467.0,569.0,sunny,dime,7 
2,1.15615,1.3366828225,1.37435,0.2182,2.5305,49.0,2401.0,225.0,176.0,274.0,45.5,2070.25,515.5,470.0,561.0,sunny,dime,7 
5,1.0443926322987922,1.0907559704,1.46594,0.2182,2.8795,56.046409340831104,3141.2,160.0,113.0,266.0,34.07286310247497,1160.9600000000003,508.8,470.0,569.0,sunny,dime,7 
4,1.1265311036540449,1.2690723275000002,1.60335,0.2181,2.8795,52.13923666491484,2718.5,172.0,118.0,251.0,42.68782027698299,1822.25,517.5,465.0,584.0,sunny,dime,7 
4,1.0242738314899,1.049136881875,1.843325,0.2182,2.8795,61.06963238795531,3729.5,170.0,113.0,265.0,43.37842205521081,1881.6875,503.75,463.0,570.0,sunny,dime,7 
4,1.1186877144672682,1.2514622025000002,1.61425,0.2182,2.8794,49.225882419719,2423.1875,185.75,115.0,252.0,47.304201716126656,2237.6875,509.25,464.0,583.0,sunny,dime,7 
5,1.1060190244295078,1.2232780824000002,1.37866,0.2182,2.8795,45.38546022681714,2059.84,178.4,113.0,245.0,51.84052468870276,2687.44,500.6,437.0,591.0,sunny,dime,7 
4,1.1187471865886414,1.2515952675000002,1.61425,0.2181,2.8795,50.70009861923347,2570.5,184.0,116.0,255.0,42.41093608964556,1798.6875,511.75,469.0,579.0,sunny,dime,7 
4,1.1187159880304742,1.2515254618750002,1.614275,0.2182,2.8795,42.20189569201838,1781.0,173.0,120.0,238.0,49.92744736114595,2492.75,514.5,471.0,597.0,sunny,dime,7 
4,1.111212597514535,1.234793436875,1.625175,0.2181,2.8795,47.75130888258457,2280.1875,187.25,117.0,248.0,48.334123556758534,2336.1875,510.25,466.0,587.0,sunny,dime,7 
3,0.9731736775451063,0.9470670066666665,1.2070999999999998,0.2182,2.5305,38.30868772948971,1467.5555555555554,209.66666666666666,169.0,261.0,65.32142748661337,4266.88888888889,490.3333333333333,416.0,575.0,sunny,dime,7 
3,0.9731736775451063,0.9470670066666665,1.2070999999999998,0.2182,2.5305,38.30868772948971,1467.5555555555554,209.66666666666666,169.0,261.0,65.32142748661337,4266.88888888889,490.3333333333333,416.0,575.0,sunny,dime,7 
3,1.0102867656704648,1.0206793488888888,1.1198333333333332,0.2182,2.5305,48.18252334151414,2321.555555555555,178.66666666666666,119.0,237.0,53.91557185905468,2906.888888888889,525.3333333333334,469.0,598.0,sunny,dime,7 
3,1.0102867656704648,1.0206793488888888,1.1198333333333332,0.2182,2.5305,48.18252334151414,2321.555555555555,178.66666666666666,119.0,237.0,53.91557185905468,2906.888888888889,525.3333333333334,469.0,598.0,sunny,dime,7 
5,1.0055685866215194,1.0111681824,2.0505400000000003,0.2181,2.8795,55.87342838953056,3121.8399999999997,157.6,116.0,258.0,41.44200767337412,1717.4399999999998,507.4,461.0,577.0,sunny,dime,7 
5,1.035774621044559,1.0728290656000001,1.48338,0.2181,2.8795,48.93424159011765,2394.56,155.2,119.0,247.0,61.67008999506973,3803.2,488.0,406.0,588.0,sunny,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,62.838417124134075,3948.6666666666665,182.0,113.0,265.0,37.276742823851386,1389.5555555555557,523.3333333333334,480.0,571.0,sunny,dime,7 
3,1.180962165166842,1.3946716355555557,1.8760333333333332,0.2181,2.8795,62.838417124134075,3948.6666666666665,182.0,113.0,265.0,37.276742823851386,1389.5555555555557,523.3333333333334,480.0,571.0,sunny,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,48.0,2304.0,216.0,168.0,264.0,45.5,2070.25,525.5,480.0,571.0,sunny,dime,7 
4,1.1514453859714755,1.325826476875,1.570625,0.2181,2.8795,50.66248612138966,2566.6875,164.25,113.0,245.0,45.745901455758855,2092.6875,516.25,477.0,591.0,sunny,dime,7 
3,1.0102699716192478,1.0206454155555558,1.1197666666666668,0.2181,2.5304,50.22836737232148,2522.8888888888887,176.66666666666666,116.0,239.0,51.181593913784624,2619.5555555555557,526.6666666666666,474.0,596.0,sunny,dime,7 
3,1.0102699716192478,1.0206454155555558,1.1197666666666668,0.2181,2.5304,50.22836737232148,2522.8888888888887,176.66666666666666,116.0,239.0,51.181593913784624,2619.5555555555557,526.6666666666666,474.0,596.0,sunny,dime,7 
3,1.0102699716192478,1.0206454155555558,1.1197666666666668,0.2181,2.5304,50.22836737232148,2522.8888888888887,176.66666666666666,116.0,239.0,51.181593913784624,2619.5555555555557,526.6666666666666,474.0,596.0,sunny,dime,7 
3,1.0031320385007483,1.0062738866666667,1.1343,0.2181,2.5304,42.499673201357936,1806.222222222222,175.66666666666666,125.0,229.0,55.174470747096635,3044.2222222222226,530.3333333333334,476.0,606.0,sunny,dime,7 
