num objects,r std,r var,r mean,r min,r max,snr std,snr var,snr mean,snr min,snr max,noise std,noise var,noise mean,noise min,noise max,enviroment,object,height
5,0.8756475784241056,0.7667586816,1.1343200000000002,0.2181,2.5305,39.64341054954782,1571.6,168.0,118.0,228.0,61.50967403587829,3783.4399999999996,511.6,456.0,608.0,lablight,dime,7 
4,1.207706839427516,1.45855581,1.5052,0.2181,2.8795,39.67996975805299,1574.5,165.0,112.0,223.0,49.05800138611438,2406.6875,544.75,484.0,613.0,lablight,dime,7 
3,1.051341352748954,1.1053186400000001,1.0471000000000001,0.2181,2.5305,15.084944665313014,227.55555555555557,183.66666666666666,173.0,205.0,61.59184650224051,3793.555555555556,563.3333333333334,482.0,631.0,lablight,dime,7 
3,1.051341352748954,1.1053186400000001,1.0471000000000001,0.2181,2.5305,15.084944665313014,227.55555555555557,183.66666666666666,173.0,205.0,61.59184650224051,3793.555555555556,563.3333333333334,482.0,631.0,lablight,dime,7 
3,1.051341352748954,1.1053186400000001,1.0471000000000001,0.2181,2.5305,23.299976156401726,542.8888888888889,192.66666666666666,171.0,225.0,51.61395160225576,2664.0,550.0,484.0,610.0,lablight,dime,7 
3,1.051341352748954,1.1053186400000001,1.0471000000000001,0.2181,2.5305,23.299976156401726,542.8888888888889,192.66666666666666,171.0,225.0,51.61395160225576,2664.0,550.0,484.0,610.0,lablight,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,25.5,650.25,207.5,182.0,233.0,64.0,4096.0,539.0,475.0,603.0,lablight,dime,7 
2,1.1562,1.33679844,1.3743,0.2181,2.5305,22.0,484.0,196.0,174.0,218.0,68.0,4624.0,550.0,482.0,618.0,lablight,dime,7 
4,0.9535637681875292,0.9092838599999999,0.8835,0.2181,2.5305,27.097047809678457,734.25,177.5,159.0,224.0,44.08727140570167,1943.6875,556.75,488.0,611.0,lablight,dime,7 
4,0.82111420795161,0.6742285425,1.45065,0.2181,2.5305,50.95586325438909,2596.5,161.0,115.0,238.0,50.191508245917454,2519.1875,511.25,477.0,598.0,lablight,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,32.0,1024.0,208.0,176.0,240.0,58.5,3422.25,537.5,479.0,596.0,lablight,dime,7 
2,1.15615,1.3366828225,1.37435,0.2182,2.5305,22.5,506.25,203.5,181.0,226.0,67.0,4489.0,542.0,475.0,609.0,lablight,dime,7 
4,0.9593308774870117,0.9203157325,1.22165,0.2182,2.5305,40.2763888649417,1622.1875,174.75,114.0,227.0,61.49949186781953,3782.1875,528.75,467.0,609.0,lablight,dime,7 
5,0.9305805039866245,0.8659800744000001,1.73644,0.2182,2.8795,49.08930637114361,2409.76,151.2,113.0,232.0,47.617643788831046,2267.44,512.6,471.0,603.0,lablight,dime,7 
2,1.15615,1.3366828225000003,1.3742500000000002,0.2181,2.5304,22.5,506.25,205.5,183.0,228.0,68.0,4624.0,539.0,471.0,607.0,lablight,dime,7 
3,0.9600437709928763,0.9216840422222222,1.4979666666666667,0.2182,2.5305,44.14370472294625,1948.6666666666667,173.0,115.0,222.0,67.4553350167518,4550.222222222223,517.6666666666666,467.0,613.0,lablight,dime,7 
3,0.9600437709928763,0.9216840422222222,1.4979666666666667,0.2182,2.5305,44.14370472294625,1948.6666666666667,173.0,115.0,222.0,67.4553350167518,4550.222222222223,517.6666666666666,467.0,613.0,lablight,dime,7 
3,0.9600351880125136,0.9216675622222223,1.4979333333333333,0.2182,2.5305,45.9782557302906,2114.0,175.0,114.0,225.0,67.65763486522091,4577.555555555556,514.3333333333334,465.0,610.0,lablight,dime,7 
3,0.9600351880125136,0.9216675622222223,1.4979333333333333,0.2182,2.5305,45.9782557302906,2114.0,175.0,114.0,225.0,67.65763486522091,4577.555555555556,514.3333333333334,465.0,610.0,lablight,dime,7 
4,0.8315101232095735,0.6914090850000001,1.5051999999999999,0.2182,2.5305,49.751884386422994,2475.25,160.5,113.0,232.0,54.71916940159088,2994.1875,509.25,470.0,603.0,lablight,dime,7 
5,0.7437763819858763,0.5532033064,1.50956,0.2182,2.5305,46.37930573003438,2151.04,154.6,116.0,228.0,54.53072528400846,2973.6,501.0,461.0,608.0,lablight,dime,7 
4,0.8315101232095735,0.6914090850000001,1.5051999999999999,0.2182,2.5305,47.40450927918145,2247.1875,161.75,116.0,230.0,57.33018402203154,3286.75,507.5,466.0,606.0,lablight,dime,7 
4,0.933875545776845,0.8721235350000001,1.1671,0.2182,2.5305,42.381452311123084,1796.1875,168.75,117.0,229.0,57.736470276593806,3333.5,535.0,470.0,606.0,lablight,dime,7 
